part_name,category,compatible_fuels,symptoms_if_broken,image_filename
Airbag Control Unit (ACU / SRS Module),Depreciation,gasoline;diesel;hybrid;electric,Airbag warning light;airbags not deploying in accident,airbag_control_unit_acu___srs_module.jpg
Instrument Cluster,Depreciation,gasoline;diesel;hybrid;electric,Missing or incorrect gauge readings;warning lights not working,instrument_cluster.jpg
Speedometer,Depreciation,gasoline;diesel;hybrid;electric,Incorrect speed reading;no speed display,speedometer.jpg
Odometer,Depreciation,gasoline;diesel;hybrid;electric,Incorrect or no mileage display,odometer.jpg
Catalytic Converter,Depreciation,gasoline;diesel;hybrid,Check engine light;rattling noise;loss of power;failed emissions,catalytic_converter.jpg
Diesel Particulate Filter (DPF) assembly,Depreciation,diesel;hybrid,DPF warning light;power loss;frequent regeneration cycles,diesel_particulate_filter_dpf_assembly.jpg
EGR Valve,Exhaust gas recirculation,gasoline;diesel;hybrid,Rough idle;black smoke;check engine light;stalling;poor fuel economy,egr_valve.jpg
EGR Cooler,Exhaust gas recirculation,gasoline;diesel;hybrid,Coolant in oil;overheating;white smoke;coolant loss,egr_cooler.jpg
EGR Pipe / Tube,Exhaust gas recirculation,gasoline;diesel;hybrid,Vacuum leaks;rough idle;check engine light,egr_pipe___tube.jpg
EGR Gasket,Exhaust gas recirculation,gasoline;diesel;hybrid,Exhaust leak;rough idle;check engine light,egr_gasket.jpg
EGR Position Sensor,Exhaust gas recirculation,gasoline;diesel;hybrid,Check engine light;rough idle;poor fuel economy,egr_position_sensor.jpg
EGR Temperature Sensor,Exhaust gas recirculation,gasoline;diesel;hybrid,Check engine light;EGR system fault;poor emissions control,egr_temperature_sensor.jpg
EGR Pressure Sensor / Differential Pressure Sensor,Exhaust gas recirculation,gasoline;diesel;hybrid,DPF/EGR fault codes;poor emissions control,egr_pressure_sensor___differential_pressure_sensor.jpg
EGR Vacuum Solenoid / Modulator,Exhaust gas recirculation,gasoline;diesel;hybrid,EGR not opening or closing;rough idle;fault codes,egr_vacuum_solenoid___modulator.jpg
EGR Blanking Plate (delete kit),Exhaust gas recirculation,gasoline;diesel;hybrid,N/A - used for delete purposes,egr_blanking_plate_delete_kit.jpg
Timing Belt,Belts chains rollers,gasoline;diesel;hybrid,Engine skipping;rough running;catastrophic engine failure if broken,timing_belt.jpg
Timing Chain,Belts chains rollers,gasoline;diesel;hybrid,Rattling on startup;poor timing;engine failure,timing_chain.jpg
Timing Belt Tensioner,Belts chains rollers,gasoline;diesel;hybrid,Belt slipping;squealing;timing failure,timing_belt_tensioner.jpg
Timing Chain Tensioner,Belts chains rollers,gasoline;diesel;hybrid,Rattling on startup;chain slapping;poor timing,timing_chain_tensioner.jpg
Timing Belt Idler Pulley,Belts chains rollers,gasoline;diesel;hybrid,Squealing;belt wear;timing failure,timing_belt_idler_pulley.jpg
Timing Chain Guide / Rail,Belts chains rollers,gasoline;diesel;hybrid,Chain rattle;poor timing;chain jumping,timing_chain_guide___rail.jpg
Timing Belt Kit (belt + tensioner + pulleys),Belts chains rollers,gasoline;diesel;hybrid,Engine timing issues;belt/tensioner failure,timing_belt_kit_belt__tensioner__pulleys.jpg
Serpentine Belt / Poly-V Belt,Belts chains rollers,gasoline;diesel;hybrid,Squealing;loss of alternator/AC/PS;battery warning light,serpentine_belt___poly-v_belt.jpg
Serpentine Belt Tensioner,Belts chains rollers,gasoline;diesel;hybrid,Belt slipping;squealing;belt wear,serpentine_belt_tensioner.jpg
Serpentine Belt Idler Pulley,Belts chains rollers,gasoline;diesel;hybrid,Squealing;belt misalignment;belt wear,serpentine_belt_idler_pulley.jpg
V-Belt / Fan Belt,Belts chains rollers,gasoline;diesel;hybrid,Squealing;overheating (no water pump);battery drain,v-belt___fan_belt.jpg
Drive Chain (transfer case),Belts chains rollers,gasoline;diesel;hybrid,Noise from transfer case;4WD not engaging properly,drive_chain_transfer_case.jpg
Balance Shaft Belt / Chain,Belts chains rollers,gasoline;diesel;hybrid,Engine vibration;rough running;balance shaft noise,balance_shaft_belt___chain.jpg
Oil Pump Chain / Belt,Belts chains rollers,gasoline;diesel;hybrid,Low oil pressure;engine knocking;oil pressure warning,oil_pump_chain___belt.jpg
Turbocharger,Forced induction components,gasoline;diesel;hybrid,Loss of power;excessive smoke;turbo lag;whining noise;oil consumption,turbocharger.jpg
Supercharger,Forced induction components,gasoline;hybrid,Loss of power;belt squeal;whining noise;boost pressure drop,supercharger.jpg
Intercooler / Charge Air Cooler,Forced induction components,gasoline;diesel;hybrid,Reduced power;poor fuel economy;overheating intake air,intercooler___charge_air_cooler.jpg
Intercooler Pipe / Hose,Forced induction components,gasoline;diesel;hybrid,Boost leak;loss of power;hissing noise under load,intercooler_pipe___hose.jpg
Turbo Inlet Pipe / Air Intake Hose,Forced induction components,gasoline;diesel;hybrid,Boost loss;hissing noise;reduced performance,turbo_inlet_pipe___air_intake_hose.jpg
Blow-Off Valve (BOV) / Diverter Valve,Forced induction components,gasoline;hybrid,Compressor surge;poor throttle response;hissing noise,blow-off_valve_bov___diverter_valve.jpg
Waste Gate (internal/external),Forced induction components,gasoline;diesel;hybrid,Overboost/underboost;poor performance;check engine light,waste_gate_internal_external.jpg
Turbo Oil Feed Line,Forced induction components,gasoline;diesel;hybrid,Turbo oil starvation;seizure;blue smoke,turbo_oil_feed_line.jpg
Turbo Oil Return Line,Forced induction components,gasoline;diesel;hybrid,Oil pooling in turbo;blue smoke;oil leak,turbo_oil_return_line.jpg
Turbo Coolant Feed/Return Line,Forced induction components,gasoline;diesel;hybrid,Turbo overheating after shutdown;coking,turbo_coolant_feed_return_line.jpg
Turbo Heat Shield,Forced induction components,gasoline;diesel;hybrid,Heat damage to nearby components;burning smell,turbo_heat_shield.jpg
Boost Pressure Sensor / MAP Sensor (turbo),Forced induction components,gasoline;diesel;hybrid,Check engine light;poor performance;boost errors,boost_pressure_sensor___map_sensor_turbo.jpg
Supercharger Pulley,Forced induction components,gasoline;hybrid,Belt squeal;loss of boost;noise from engine,supercharger_pulley.jpg
Intercooler Water Spray Kit,Forced induction components,gasoline;diesel;hybrid,Reduced intercooler effectiveness in performance applications,intercooler_water_spray_kit.jpg
Radiator,Engine cooling system,gasoline;diesel;hybrid;electric,Engine overheating;coolant leak;temperature warning light,radiator.jpg
Radiator Cap,Engine cooling system,gasoline;diesel;hybrid;electric,Coolant boiling over;overheating;coolant loss,radiator_cap.jpg
Water Pump,Engine cooling system,gasoline;diesel;hybrid,Engine overheating;coolant leak;whining noise;no heat from heater,water_pump.jpg
Thermostat,Engine cooling system,gasoline;diesel;hybrid,Engine slow to warm up or overheating;poor heater output,thermostat.jpg
Thermostat Housing,Engine cooling system,gasoline;diesel;hybrid,Coolant leak;overheating;housing cracks,thermostat_housing.jpg
Coolant Temperature Sensor,Engine cooling system,gasoline;diesel;hybrid,Incorrect temperature reading;poor fueling;check engine light,coolant_temperature_sensor.jpg
Radiator Fan (electric),Engine cooling system,gasoline;diesel;hybrid;electric,Overheating at idle/low speed;fan not spinning,radiator_fan_electric.jpg
Radiator Fan Clutch,Engine cooling system,gasoline;diesel;hybrid,Overheating;fan not engaging at high temps;loud fan noise,radiator_fan_clutch.jpg
Coolant Hose (upper radiator),Engine cooling system,gasoline;diesel;hybrid;electric,Coolant leak;overheating;hose collapse,coolant_hose_upper_radiator.jpg
Coolant Hose (lower radiator),Engine cooling system,gasoline;diesel;hybrid;electric,Coolant leak;overheating,coolant_hose_lower_radiator.jpg
Coolant Overflow / Expansion Tank,Engine cooling system,gasoline;diesel;hybrid;electric,Coolant loss;overheating;cracked reservoir,coolant_overflow___expansion_tank.jpg
Heater Core,Engine cooling system,gasoline;diesel;hybrid,No heat in cabin;coolant smell inside car;foggy windows,heater_core.jpg
Coolant Bypass Hose,Engine cooling system,gasoline;diesel;hybrid,Coolant leak;poor coolant circulation;overheating,coolant_bypass_hose.jpg
Engine Oil Cooler,Engine cooling system,gasoline;diesel;hybrid,Oil overheating;oil/coolant mixing;oil degradation,engine_oil_cooler.jpg
Oil Cooler Hose,Engine cooling system,gasoline;diesel;hybrid,Oil leak;coolant contamination in oil,oil_cooler_hose.jpg
Bumper (front),Body,gasoline;diesel;hybrid;electric,Poor aesthetics;loss of pedestrian protection;no fog light housing,bumper_front.jpg
Bumper (rear),Body,gasoline;diesel;hybrid;electric,Poor aesthetics;no rear parking sensor housing;loss of impact protection,bumper_rear.jpg
Bumper Cover / Fascia,Body,gasoline;diesel;hybrid;electric,Damaged appearance;poor aerodynamics;mounting issues,bumper_cover___fascia.jpg
Front Fender / Wing,Body,gasoline;diesel;hybrid;electric,Exposed wheel arch;poor appearance;aerodynamic issues,front_fender___wing.jpg
Rear Fender / Quarter Panel,Body,gasoline;diesel;hybrid;electric,Corrosion risk;poor appearance;no wheel arch protection,rear_fender___quarter_panel.jpg
Hood / Bonnet,Body,gasoline;diesel;hybrid;electric,Engine bay exposed to elements;poor safety in accident,hood___bonnet.jpg
Hood Hinge,Body,gasoline;diesel;hybrid;electric,Hood not opening/closing properly;alignment issues,hood_hinge.jpg
Hood Latch,Body,gasoline;diesel;hybrid;electric,Hood flying open at speed;hood not securing,hood_latch.jpg
Hood Support Rod / Gas Strut,Body,gasoline;diesel;hybrid;electric,Hood falling when open;unable to work safely in engine bay,hood_support_rod___gas_strut.jpg
Door (front),Body,gasoline;diesel;hybrid;electric,No entry access;wind/water ingress;safety compromise,door_front.jpg
Door (rear),Body,gasoline;diesel;hybrid;electric,No rear entry;rattles;water ingress,door_rear.jpg
Door Hinge,Body,gasoline;diesel;hybrid;electric,Door sagging;squeaking;poor door alignment,door_hinge.jpg
Door Handle (exterior),Body,gasoline;diesel;hybrid;electric,Cannot open door from outside,door_handle_exterior.jpg
Door Handle (interior),Body,gasoline;diesel;hybrid;electric,Cannot open door from inside;trapped occupant risk,door_handle_interior.jpg
Door Lock Mechanism,Body,gasoline;diesel;hybrid;electric,Door not locking/unlocking;security risk,door_lock_mechanism.jpg
Door Lock Actuator,Body,gasoline;diesel;hybrid;electric,Central locking not working on that door,door_lock_actuator.jpg
Door Seal / Weatherstrip,Body,gasoline;diesel;hybrid;electric,Wind noise;water leaks;poor insulation,door_seal___weatherstrip.jpg
Boot / Trunk Lid,Body,gasoline;diesel;hybrid;electric,Boot not securing;weather ingress;rattles,boot___trunk_lid.jpg
Tailgate,Body,gasoline;diesel;hybrid;electric,Rear access blocked;water ingress;structural weakness,tailgate.jpg
Tailgate Strut / Gas Spring,Body,gasoline;diesel;hybrid;electric,Tailgate falling when open;unable to hold tailgate up,tailgate_strut___gas_spring.jpg
Trunk Latch,Body,gasoline;diesel;hybrid;electric,Boot not securing;boot flying open while driving,trunk_latch.jpg
Sunroof Glass,Body,gasoline;diesel;hybrid;electric,Water leaks;wind noise;cannot open/close sunroof,sunroof_glass.jpg
Sunroof Frame / Mechanism,Body,gasoline;diesel;hybrid;electric,Sunroof stuck;water leaks;wind noise,sunroof_frame___mechanism.jpg
Side Mirror Housing,Body,gasoline;diesel;hybrid;electric,Poor aesthetics;mirror not folding properly,side_mirror_housing.jpg
Side Skirt / Rocker Panel,Body,gasoline;diesel;hybrid;electric,Poor aerodynamics;corrosion exposure;poor aesthetics,side_skirt___rocker_panel.jpg
Spoiler (front/rear),Body,gasoline;diesel;hybrid;electric,Reduced aerodynamic stability;poor aesthetics,spoiler_front_rear.jpg
Windshield / Front Screen,Body,gasoline;diesel;hybrid;electric,Impaired visibility;safety risk;structural weakness,windshield___front_screen.jpg
Rear Window,Body,gasoline;diesel;hybrid;electric,Impaired rear vision;water ingress,rear_window.jpg
Door Window Glass,Body,gasoline;diesel;hybrid;electric,Water ingress;poor security;wind noise,door_window_glass.jpg
A-Pillar Trim,Body,gasoline;diesel;hybrid;electric,Poor appearance;noise ingress,a-pillar_trim.jpg
B-Pillar Trim,Body,gasoline;diesel;hybrid;electric,Poor appearance;seatbelt mounting issues,b-pillar_trim.jpg
C-Pillar Trim,Body,gasoline;diesel;hybrid;electric,Poor appearance;water ingress,c-pillar_trim.jpg
Heater Core (cabin),Heating,gasoline;diesel;hybrid,No cabin heat;coolant smell in cabin;fogged windows,heater_core_cabin.jpg
Blower Motor,Heating,gasoline;diesel;hybrid;electric,No air from vents;weak airflow;blower only on high speed,blower_motor.jpg
Blower Motor Resistor (heating),Heating,gasoline;diesel;hybrid;electric,Fan only works on specific speeds,blower_motor_resistor_heating.jpg
HVAC Control Panel / Climate Control Unit,Heating,gasoline;diesel;hybrid;electric,Incorrect temperature;fan speed not adjusting;no response to controls,hvac_control_panel___climate_control_unit.jpg
Heater Valve / Coolant Control Valve,Heating,gasoline;diesel;hybrid,No heat;coolant leak;stuck at one temperature,heater_valve___coolant_control_valve.jpg
Heater Hose,Heating,gasoline;diesel;hybrid,Coolant leak;loss of heat;overheating,heater_hose.jpg
Cabin Temperature Sensor,Heating,gasoline;diesel;hybrid;electric,Incorrect auto climate control;over/under heating,cabin_temperature_sensor.jpg
Sunlight Sensor,Heating,gasoline;diesel;hybrid;electric,Auto climate control not adjusting for sun load,sunlight_sensor.jpg
Blend Door Actuator,Heating,gasoline;diesel;hybrid;electric,Stuck at one temperature;clicking noise from dash,blend_door_actuator.jpg
Fresh Air / Recirculation Actuator,Heating,gasoline;diesel;hybrid;electric,Inability to switch between fresh/recirculated air,fresh_air___recirculation_actuator.jpg
Duct / Air Distribution Box,Heating,gasoline;diesel;hybrid;electric,Poor airflow to certain vents;noise from HVAC system,duct___air_distribution_box.jpg
Diesel Fuel-Powered Auxiliary Heater (Webasto/Espar),Heating,diesel,No pre-heating;auxiliary heater not starting;fuel smell,diesel_fuel-powered_auxiliary_heater_webasto_espar.jpg
PTC (Positive Temperature Coefficient) Heater,Heating,electric;hybrid,No cabin heat;slow cabin warm-up in cold weather,ptc_positive_temperature_coefficient_heater.jpg
Head Gasket (see Engine also),Gaskets and sealing rings,gasoline;diesel;hybrid,Coolant in oil;white smoke;overheating;compression loss,head_gasket_see_engine_also.jpg
Valve Cover Gasket (see Engine also),Gaskets and sealing rings,gasoline;diesel;hybrid,Oil leak from top of engine;oil burning smell,valve_cover_gasket_see_engine_also.jpg
Intake Manifold Gasket (see Engine also),Gaskets and sealing rings,gasoline;diesel;hybrid,Vacuum leak;rough idle;coolant leak,intake_manifold_gasket_see_engine_also.jpg
Exhaust Manifold Gasket (see Engine also),Gaskets and sealing rings,gasoline;diesel;hybrid,Exhaust leak;ticking noise;burning smell,exhaust_manifold_gasket_see_engine_also.jpg
Crankshaft Seal (front),Gaskets and sealing rings,gasoline;diesel;hybrid,Oil leak from front of engine;oil on timing belt,crankshaft_seal_front.jpg
Crankshaft Seal (rear),Gaskets and sealing rings,gasoline;diesel;hybrid,Oil leak at flywheel/clutch;clutch contamination with oil,crankshaft_seal_rear.jpg
Camshaft Seal,Gaskets and sealing rings,gasoline;diesel;hybrid,Oil leak from cylinder head;oil on timing belt,camshaft_seal.jpg
Oil Sump Gasket (see Engine also),Gaskets and sealing rings,gasoline;diesel;hybrid,Oil leak from bottom of engine,oil_sump_gasket_see_engine_also.jpg
Water Pump Gasket / O-Ring,Gaskets and sealing rings,gasoline;diesel;hybrid,Coolant leak at water pump;overheating,water_pump_gasket___o-ring.jpg
Thermostat Gasket / O-Ring,Gaskets and sealing rings,gasoline;diesel;hybrid,Coolant leak at thermostat housing,thermostat_gasket___o-ring.jpg
Gearbox Output Shaft Seal,Gaskets and sealing rings,gasoline;diesel;hybrid,Gearbox oil leak;driveshaft contamination,gearbox_output_shaft_seal.jpg
Gearbox Input Shaft Seal,Gaskets and sealing rings,gasoline;diesel;hybrid,Gearbox oil leak;clutch oil contamination,gearbox_input_shaft_seal.jpg
Differential Pinion Seal,Gaskets and sealing rings,gasoline;diesel;hybrid,Differential oil leak;whining noise,differential_pinion_seal.jpg
Differential Side Seal,Gaskets and sealing rings,gasoline;diesel;hybrid,Differential oil leak;axle seal failure,differential_side_seal.jpg
O-Ring Set (engine/gearbox),Gaskets and sealing rings,gasoline;diesel;hybrid;electric,Oil/fluid leaks from various joints,o-ring_set_engine_gearbox.jpg
Turbo Gasket Set,Gaskets and sealing rings,gasoline;diesel;hybrid,Exhaust/oil leak at turbo;boost leak;hissing noise,turbo_gasket_set.jpg
EGR Gasket (see EGR),Gaskets and sealing rings,gasoline;diesel;hybrid,EGR leak;rough idle,egr_gasket_see_egr.jpg
Power Steering Rack Seal Kit,Gaskets and sealing rings,gasoline;diesel;hybrid,Power steering fluid leak;poor steering,power_steering_rack_seal_kit.jpg
Shock Absorber Seal Kit,Gaskets and sealing rings,gasoline;diesel;hybrid;electric,Oil leak from shock;poor damping;bouncy ride,shock_absorber_seal_kit.jpg
Brake Caliper Seal Kit,Gaskets and sealing rings,gasoline;diesel;hybrid;electric,Brake fluid leak;seized caliper;poor braking,brake_caliper_seal_kit.jpg
Catalytic Converter,Exhaust system,gasoline;hybrid,Check engine light;loss of power;rattling;failed emissions test,catalytic_converter.jpg
Diesel Particulate Filter (DPF),Exhaust system,diesel;hybrid,Power loss;DPF warning light;frequent regeneration;clogging,diesel_particulate_filter_dpf.jpg
Diesel Oxidation Catalyst (DOC),Exhaust system,diesel;hybrid,Poor emissions;DPF clogging faster,diesel_oxidation_catalyst_doc.jpg
SCR Catalyst / AdBlue Injector System,Exhaust system,diesel;hybrid,Failed NOx emissions;AdBlue warning;check engine light,scr_catalyst___adblue_injector_system.jpg
Muffler / Silencer,Exhaust system,gasoline;diesel;hybrid,Loud exhaust noise;rattling;poor fuel economy,muffler___silencer.jpg
Resonator,Exhaust system,gasoline;diesel;hybrid,Droning/booming exhaust note;increased noise,resonator.jpg
Front Pipe / Down Pipe,Exhaust system,gasoline;diesel;hybrid,Exhaust leak;hissing noise;loss of power,front_pipe___down_pipe.jpg
Mid Pipe / Center Pipe,Exhaust system,gasoline;diesel;hybrid,Exhaust leak;noise;rust and holes,mid_pipe___center_pipe.jpg
Rear Exhaust Pipe / Tail Pipe,Exhaust system,gasoline;diesel;hybrid,Visible damage;noise;emissions failure,rear_exhaust_pipe___tail_pipe.jpg
Exhaust Manifold (see Engine),Exhaust system,gasoline;diesel;hybrid,Ticking noise;exhaust smell;performance loss,exhaust_manifold_see_engine.jpg
Flex Pipe / Flexible Joint,Exhaust system,gasoline;diesel;hybrid,Exhaust rattling;leaks;noise under acceleration,error.jpg
Exhaust Hanger / Mounting Rubber,Exhaust system,gasoline;diesel;hybrid,Exhaust pipe rattling against underbody;misaligned exhaust,exhaust_hanger___mounting_rubber.jpg
Lambda Sensor / O2 Sensor (upstream),Exhaust system,gasoline;hybrid,Poor fuel economy;rough idle;check engine light,lambda_sensor___o2_sensor_upstream.jpg
Lambda Sensor / O2 Sensor (downstream),Exhaust system,gasoline;hybrid,Check engine light;poor catalytic converter monitoring,lambda_sensor___o2_sensor_downstream.jpg
NOx Sensor,Exhaust system,diesel;hybrid,Check engine light;emissions failures;SCR system faults,nox_sensor.jpg
Temperature Sensor (exhaust),Exhaust system,gasoline;diesel;hybrid,DPF/exhaust management faults;check engine light,temperature_sensor_exhaust.jpg
Exhaust Gasket (manifold to head),Exhaust system,gasoline;diesel;hybrid,Exhaust leak;ticking;burning smell,exhaust_gasket_manifold_to_head.jpg
Exhaust Flange Gasket,Exhaust system,gasoline;diesel;hybrid,Exhaust gas leak;noise between pipe sections,exhaust_flange_gasket.jpg
EGR Delete Pipe (off-road use),Exhaust system,gasoline;diesel;hybrid,Not applicable - used for EGR removal in off-road applications,egr_delete_pipe_off-road_use.jpg
Dashboard,Passenger compartment and secondary comfort devices,gasoline;diesel;hybrid;electric,Warping;rattling;cracked surface;airbag deployment issues,dashboard.jpg
Center Console,Passenger compartment and secondary comfort devices,gasoline;diesel;hybrid;electric,Storage issues;rattling;cupholder damage,center_console.jpg
Glove Box,Passenger compartment and secondary comfort devices,gasoline;diesel;hybrid;electric,Latch broken;door falling open;hinge failure,glove_box.jpg
Sun Visor,Passenger compartment and secondary comfort devices,gasoline;diesel;hybrid;electric,Vanity mirror broken;won't stay in position;loose hinge,sun_visor.jpg
Overhead Console / Roof Lining,Passenger compartment and secondary comfort devices,gasoline;diesel;hybrid;electric,Sagging headliner;rattles;poor aesthetics,overhead_console___roof_lining.jpg
Seat (front driver),Passenger compartment and secondary comfort devices,gasoline;diesel;hybrid;electric,Adjustment mechanism broken;poor support;safety risk,seat_front_driver.jpg
Seat (front passenger),Passenger compartment and secondary comfort devices,gasoline;diesel;hybrid;electric,Adjustment broken;poor comfort,seat_front_passenger.jpg
Seat (rear),Passenger compartment and secondary comfort devices,gasoline;diesel;hybrid;electric,Folding mechanism broken;poor comfort,seat_rear.jpg
Seat Belt,Passenger compartment and secondary comfort devices,gasoline;diesel;hybrid;electric,Seat belt not retracting;buckle not latching;safety risk,seat_belt.jpg
Seat Belt Buckle,Passenger compartment and secondary comfort devices,gasoline;diesel;hybrid;electric,Won't release or latch;occupant safety risk,seat_belt_buckle.jpg
Seat Belt Pretensioner,Passenger compartment and secondary comfort devices,gasoline;diesel;hybrid;electric,Doesn't tighten in accident;reduced crash protection,seat_belt_pretensioner.jpg
Airbag (driver),Passenger compartment and secondary comfort devices,gasoline;diesel;hybrid;electric,Airbag warning light;won't deploy in crash,airbag_driver.jpg
Airbag (passenger),Passenger compartment and secondary comfort devices,gasoline;diesel;hybrid;electric,Airbag warning light;won't deploy in crash,airbag_passenger.jpg
Airbag (side curtain),Passenger compartment and secondary comfort devices,gasoline;diesel;hybrid;electric,Airbag light;no side impact protection,airbag_side_curtain.jpg
Airbag (knee),Passenger compartment and secondary comfort devices,gasoline;diesel;hybrid;electric,Airbag light;no knee protection in crash,airbag_knee.jpg
Door Trim Panel (interior),Passenger compartment and secondary comfort devices,gasoline;diesel;hybrid;electric,Rattling;poor aesthetics;window control access issues,door_trim_panel_interior.jpg
Footrest / Dead Pedal,Passenger compartment and secondary comfort devices,gasoline;diesel;hybrid;electric,Driver comfort issue;slipping foot,footrest___dead_pedal.jpg
Floor Mat,Passenger compartment and secondary comfort devices,gasoline;diesel;hybrid;electric,Slipping mat interfering with pedals;floor wear,floor_mat.jpg
Carpet Lining,Passenger compartment and secondary comfort devices,gasoline;diesel;hybrid;electric,Poor insulation;dampness;unpleasant odors,carpet_lining.jpg
Trunk Liner / Boot Mat,Passenger compartment and secondary comfort devices,gasoline;diesel;hybrid;electric,Dirty boot floor;poor protection,trunk_liner___boot_mat.jpg
Parcel Shelf / Rear Window Shelf,Passenger compartment and secondary comfort devices,gasoline;diesel;hybrid;electric,Poor aesthetics;rattling,parcel_shelf___rear_window_shelf.jpg
Horn Button,Passenger compartment and secondary comfort devices,gasoline;diesel;hybrid;electric,Horn not activating from steering wheel,horn_button.jpg
Steering Wheel,Passenger compartment and secondary comfort devices,gasoline;diesel;hybrid;electric,Worn grip;airbag mounting issues;no controls response,steering_wheel.jpg
Gear Shift Knob,Passenger compartment and secondary comfort devices,gasoline;diesel;hybrid,Worn grip;gear selection difficulty,gear_shift_knob.jpg
Pedal (accelerator),Passenger compartment and secondary comfort devices,gasoline;diesel;hybrid;electric,Sticking pedal;poor throttle response;safety risk,pedal_accelerator.jpg
Pedal (brake),Passenger compartment and secondary comfort devices,gasoline;diesel;hybrid;electric,Worn rubber pad;slipping foot;poor braking feel,pedal_brake.jpg
Pedal (clutch),Passenger compartment and secondary comfort devices,gasoline;diesel;hybrid,Worn rubber pad;slipping;clutch engagement issues,pedal_clutch.jpg
Fuel Injector,Fuel system,gasoline;diesel;hybrid,Rough idle;misfires;poor fuel economy;black smoke;starting issues,fuel_injector.jpg
Fuel Pump (in-tank),Fuel system,gasoline;diesel;hybrid,Hard starting;stalling;loss of power;engine cutting out,fuel_pump_in-tank.jpg
Fuel Pressure Regulator,Fuel system,gasoline;diesel;hybrid,Rough idle;poor performance;black smoke;fuel leaks,fuel_pressure_regulator.jpg
Fuel Rail,Fuel system,gasoline;diesel;hybrid,Fuel leak;pressure loss;poor injector distribution,fuel_rail.jpg
Fuel Tank,Fuel system,gasoline;diesel;hybrid,Fuel leak;fuel smell;structural failure,fuel_tank.jpg
Fuel Filler Cap,Fuel system,gasoline;diesel;hybrid,Fuel smell;check engine light (EVAP);poor fuel economy,fuel_filler_cap.jpg
Fuel Filler Neck,Fuel system,gasoline;diesel;hybrid,Fuel leak when filling;fuel smell;difficult to fill,fuel_filler_neck.jpg
Fuel Level Sender / Float,Fuel system,gasoline;diesel;hybrid,Incorrect fuel level reading;stuck gauge,fuel_level_sender___float.jpg
Fuel Filter (in-line),Fuel system,gasoline;diesel;hybrid,Poor performance;stalling;hard starting,fuel_filter_in-line.jpg
Fuel Pressure Sensor,Fuel system,gasoline;diesel;hybrid,Check engine light;poor fuel delivery;misfires,fuel_pressure_sensor.jpg
Charcoal Canister / EVAP Canister,Fuel system,gasoline;hybrid,Fuel smell;check engine light (EVAP code);poor fuel economy,charcoal_canister___evap_canister.jpg
EVAP Purge Valve / Canister Purge Solenoid,Fuel system,gasoline;hybrid,Rough idle;fuel smell;check engine light,evap_purge_valve___canister_purge_solenoid.jpg
EVAP Vent Valve,Fuel system,gasoline;hybrid,Fuel smell;check engine light;evap system faults,evap_vent_valve.jpg
Fuel Return Line,Fuel system,gasoline;diesel;hybrid,Fuel leak;poor pressure regulation;engine running issues,fuel_return_line.jpg
Fuel Supply Line,Fuel system,gasoline;diesel;hybrid,Fuel leak;fuel starvation;fire risk,fuel_supply_line.jpg
Fuel Tank Vent Hose,Fuel system,gasoline;diesel;hybrid,Difficult refueling;fuel smell;EVAP faults,fuel_tank_vent_hose.jpg
High Pressure Fuel Pump (HPFP - diesel/GDI),Fuel system,gasoline;diesel;hybrid,Hard starting;stalling;poor fuel delivery;check engine light,high_pressure_fuel_pump_hpfp_-_diesel_gdi.jpg
Common Rail Pressure Regulator,Fuel system,diesel;hybrid,Poor performance;check engine light;stalling,common_rail_pressure_regulator.jpg
Engine Control Unit (ECU),Management,gasoline;diesel;hybrid;electric,Check engine light;poor performance;no start;multiple system faults,engine_control_unit_ecu.jpg
Transmission Control Unit (TCU),Management,gasoline;diesel;hybrid,Erratic shifting;transmission warning;wrong gear,transmission_control_unit_tcu.jpg
ABS / ESP Module,Management,gasoline;diesel;hybrid;electric,ABS/ESP warning light;disabled safety systems,abs___esp_module.jpg
Body Control Module (BCM),Management,gasoline;diesel;hybrid;electric,Lighting failures;central locking issues;multiple electrical faults,body_control_module_bcm.jpg
Airbag Control Unit (SRS),Management,gasoline;diesel;hybrid;electric,Airbag warning light;airbags not deploying,airbag_control_unit_srs.jpg
Cruise Control Module,Management,gasoline;diesel;hybrid;electric,Cruise control not setting;disengaging randomly,cruise_control_module.jpg
Adaptive Cruise Control Module,Management,gasoline;diesel;hybrid;electric,ACC not working;warning light;braking at wrong times,adaptive_cruise_control_module.jpg
Lane Departure Warning Module,Management,gasoline;diesel;hybrid;electric,Lane warning not activating;camera errors,lane_departure_warning_module.jpg
Blind Spot Monitoring Module,Management,gasoline;diesel;hybrid;electric,Blind spot warnings not functioning;sensor faults,blind_spot_monitoring_module.jpg
Parking Assistance Module,Management,gasoline;diesel;hybrid;electric,Parking sensors/camera not working;beeping errors,parking_assistance_module.jpg
Traction Control Module,Management,gasoline;diesel;hybrid;electric,Traction control warning;system disabled,error.jpg
Stability Control (ESC) Module,Management,gasoline;diesel;hybrid;electric,ESC warning light;poor stability control,stability_control_esc_module.jpg
Tire Pressure Monitoring System (TPMS) Module,Management,gasoline;diesel;hybrid;electric,TPMS warning light;incorrect readings,tire_pressure_monitoring_system_tpms_module.jpg
Immobilizer / Anti-Theft Module,Management,gasoline;diesel;hybrid;electric,Vehicle won't start;immobilizer light on,immobilizer___anti-theft_module.jpg
